matrix,Adaptive-rt
oscil_dcop_18.mtx,41.6239
TF15.mtx,113.503
optdigits_10NN.mtx,74.5425
IG5-13.mtx,139.486
heart1.mtx,1310.02
oscil_dcop_12.mtx,36.3942
large_A_13.mtx,66.5439
nsir.mtx,328.411
fd12.mtx,46.8381
mhd3200a.mtx,89.4391
cis-n4c6-b4.mtx,102.504
lhr14c.mtx,370.114
nemeth10.mtx,226.682
nemeth22.mtx,591.862
hydr1c_A_59.mtx,58.0516
case9_b1_05.mtx,49.0382
benzene.mtx,131.211
scagr7-2b_A_2.mtx,38.0163
cell2.mtx,69.5741
oscil_dcop_34.mtx,37.1485
large_A_21.mtx,67.008
hydr1c_A_30.mtx,61.9354
lpi_pilot4i.mtx,43.2449
hydr1c_A_61.mtx,59.9953
hydr1c_A_45.mtx,58.9429
large_A_02.mtx,66.3584
t2d_q4_A_37.mtx,150.472
nemeth03.mtx,219.926
route.mtx,534.372
oscil_dcop_22.mtx,32.8774
chipcool1.mtx,278.2
large_A_29.mtx,60.4362
lpi_mondou2.mtx,35.7688
case9_b2_01.mtx,43.3813
rosen7.mtx,90.3444
t2d_q4_A_23.mtx,91.9782
nemeth06.mtx,225.014
tub100.mtx,36.1007
impcol_d.mtx,35.9073
lp_qap12.mtx,52.021
c-50.mtx,298.162
powersim.mtx,179.921
rajat11.mtx,47.967
bips98_606.mtx,62.5171
lp_pilot4.mtx,42.6212
af23560.mtx,479.497
cavity21.mtx,178.66
t2d_q9_A_07.mtx,91.3741
g7jac020sc.mtx,120.19
lhr07c.mtx,190.931
jan99jac040.mtx,251.71
gams10a.mtx,35.7805
case9_b.mtx,43.2138
c-32.mtx,45.7207
lowThrust_7.mtx,111.297
pltexpa_A_3.mtx,54.7931
t2d_q9_A_11.mtx,94.8946
gams30am.mtx,42.3985
delf_A_26.mtx,57.0027
lp_scsd8.mtx,37.0071
Na5.mtx,187.079
TSOPF_RS_b300_c1_b.mtx,40.3819
t2d_q9_A_37.mtx,88.0043
ww_vref_6405.mtx,74.2814
lp_grow22.mtx,35.4581
Franz8.mtx,94.3696
cis-n4c6-b13.mtx,83.0009
hydr1c_A_15.mtx,55.4328
hydr1c_A_35.mtx,56.2935
nd3k.mtx,1368.4
lpi_cplex2.mtx,46.3841
ex35.mtx,228.979
scrs8-2r_A_07.mtx,40.2811
sctap1-2r_A_09.mtx,90.9794
n3c5-b5.mtx,37.3132
dtoc.mtx,64.9291
Reuters911_Day_20.mtx,61.0248
s3rmt3m1.mtx,125.197
mk10-b2.mtx,34.8821
oscil_dcop_10.mtx,34.1664
Reuters911_Day_30.mtx,61.7612
ge.mtx,75.9776
bcsstk17.mtx,201.14
Dubcova1.mtx,124.835
thermal.mtx,66.1266
ts-palko.mtx,5845.4
t2d_q9_A_20.mtx,94.2533
c-22.mtx,65.4292
c-51.mtx,300.978
scsd8-2r_A_08.mtx,47.9706
oscil_dcop_33.mtx,33.2356
hydr1c_A_33.mtx,60.5212
oscil_dcop_49.mtx,47.5371
t2d_q9_A_29.mtx,98.9689
west0156.mtx,41.7864
celegans_metabolic.mtx,40.5366
large_A_10.mtx,61.8027
viscoplastic1_C_7.mtx,61.5153
garon2.mtx,345.284
t2d_q4_A_03.mtx,94.3261
G61.mtx,56.314
west0132.mtx,34.627
kineticBatchReactor_9.mtx,192.172
hydr1c_A_01.mtx,62.6277
hangGlider_3.mtx,505.453
ex2.mtx,51.1813
t2dah_e.mtx,110.907
Reuters911_Day_22.mtx,65.8922
Reuters911_Day_01.mtx,107.072
n4c6-b4.mtx,103.642
t3dl_e.mtx,54.4592
lp_standmps.mtx,110.777
bcsstm37.mtx,59.8752
shar_te2-b1.mtx,52.3549
nemsemm2.mtx,664.993
soc-sign-bitcoin-otc.mtx,201.516
saylr4.mtx,43.0785
bayer04.mtx,556.417
s2rmq4m1.mtx,188.238
hydr1.mtx,74.3404
jan99jac020.mtx,140.822
hor_131.mtx,44.894
G65.mtx,41.9628
delf_A_12.mtx,53.8415
TSC_OPF_300.mtx,371.315
t2d_q4_A_02.mtx,92.666
sx-mathoverflow_A2Q.mtx,490.824
large_A_09.mtx,64.2483
hydr1c_A_71.mtx,53.924
relat7.mtx,80.376
n2c6-b6.mtx,57.9926
t3dl.mtx,201.177
nos1.mtx,29.7215
Zd_Jac3.mtx,1992.05
aug2dc.mtx,71.7663
nsct_A_2.mtx,867.111
n3c6-b7.mtx,55.9355
oscil_dcop_15.mtx,33.637
lhr10.mtx,272.07
oscil_dcop_56.mtx,33.0889
oscil_dcop_21.mtx,31.7068
large_A_36.mtx,59.8075
lp_beaconfd.mtx,46.0674
hydr1c_A_39.mtx,54.8457
ex15.mtx,66.2635
hydr1c_A_70.mtx,54.2221
s1rmq4m1.mtx,180.425
wm1.mtx,41.0438
crystm01.mtx,65.5883
oscil_dcop_35.mtx,32.7148
Olivetti_norm_10NN.mtx,59.1389
bcsstk07.mtx,43.1448
robot24c1_mat5_J.mtx,55.3959
OPF_6000.mtx,235.837
iris_dataset_30NN.mtx,36.0276
bcsstk35.mtx,574.836
TF16.mtx,236.36
Reuters911_Day_07.mtx,74.9331
Fashion_MNIST_norm_10NN.mtx,150.056
Pd.mtx,42.5728
t2d_q4_A_32.mtx,94.8967
case9_A_09.mtx,81.2361
t2d_q9_A_23.mtx,98.1727
l9.mtx,40.2224
circuit_2.mtx,174.374
bcsstk24.mtx,99.3896
c-39.mtx,179.466
sctap1-2b_A_1.mtx,42.9039
lp_scfxm1.mtx,41.2225
