matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr,adaptive-rt
random_mtx_61,17687,500,500,0,r,1,0,35.374,16,55,17687,0,100,901,16786,5.094,0,17687,0,12.845632,14.466528,15.776,14.591392,12.982656,12.91472,13.006848,0.887955,0.814251,0.880357,0.989446,0.99465,0.987605,0,0.0000000432175,0.0000000432175,4.53181E-10,0,0,0,7.900512,1.625924,0.00000907282,550.815
random_mtx_62,85271,500,500,0,r,1,0,170.542,139,199,85271,0,100,4313,80958,5.058,0,85271,0,23.234753,30.318687,24.678432,26.480415,25.124607,27.339008,27.035072,0.766351,0.9415,0.877432,0.924781,0.849875,0.85943,0,0.0000000461659,0.0000000461659,5.94357E-10,0,0,0,25.518656,0.910501,0.0000111949,495.43
random_mtx_63,35662,500,500,0,r,1,0,71.324,51,99,35662,0,100,1812,33850,5.081,0,35662,0,15.716864,19.166719,18.723425,17.33456,15.851392,15.544576,16.419905,0.820008,0.839422,0.906678,0.991513,1.011083,0.957184,0,0.000000046887,0.000000046887,5.2009E-10,0,0,0,12.8728,1.220936,0.0000102299,563.947
random_mtx_64,94624,500,500,0,r,1,0,189.248,155,230,94624,0,100,4700,89924,4.967,0,94624,0,32.707073,26.102177,27.386784,32.447903,32.987518,33.215168,32.941982,1.25304,1.194265,1.007987,0.991498,0.984703,0.992869,0,0.0000000336373,0.0000000336373,4.06564E-10,0,0,0,17.360319,1.884013,0.0000118103,184.548
random_mtx_65,15872,500,500,0,r,1,0,31.744,17,49,15872,0,100,804,15068,5.066,0,15872,0,12.378528,13.540352,13.97776,14.009856,12.487392,12.422016,12.595264,0.914195,0.885587,0.883559,0.991282,0.996499,0.982792,0,0.0000000431988,0.0000000431988,5.3816E-10,0,0,0,8.270784,1.496657,0.00000887394,522.324
random_mtx_66,70351,500,500,0,r,1,0,140.702,112,171,70351,0,100,3582,66769,5.092,0,70351,0,24.546976,24.901024,25.970495,22.345568,23.183968,24.893921,23.178368,0.985782,0.945187,1.098517,1.058791,0.986063,1.059047,0,0.0000000456596,0.0000000456596,5.50338E-10,0,0,0,14.863584,1.651484,0.000011004,1298.27
random_mtx_67,94409,500,500,0,r,1,0,188.818,150,227,94409,0,100,4741,89668,5.022,0,94409,0,32.533665,26.197409,26.494017,32.469536,32.664833,32.957474,32.713951,1.241866,1.227963,1.001975,0.995984,0.987141,0.994489,0,0.0000000456377,0.0000000456377,4.68728E-10,0,0,0,17.767263,1.831102,0.0000121357,183.564
random_mtx_68,80531,500,500,0,r,1,0,161.062,134,191,80531,0,100,4021,76510,4.993,0,80531,0,23.230881,23.785952,24.108608,22.978399,25.493889,23.768641,25.491615,0.976664,0.963593,1.010988,0.911233,0.977375,0.911315,0,0.0000000374649,0.0000000374649,4.43244E-10,0,0,0,15.635648,1.485764,0.0000115665,506.874
random_mtx_69,74506,500,500,0,r,1,0,149.012,120,177,74506,0,100,3729,70777,5.005,0,74506,0,21.580929,28.676191,28.908928,24.050016,22.019648,21.956224,22.042528,0.752573,0.746514,0.897335,0.980076,0.982907,0.979059,0,0.000000033732,0.000000033732,3.46964E-10,0,0,0,23.358368,0.923906,0.0000120305,496.361
random_mtx_7,81116,500,500,0,r,1,0,162.232,133,193,81116,0,100,4101,77015,5.056,0,81116,0,25.424192,24.040705,24.30912,22.869984,23.99024,25.75456,24.132416,1.057548,1.045871,1.111684,1.059772,0.987172,1.053529,0,0.0000000453597,0.0000000453597,5.30314E-10,0,0,0,15.743712,1.614879,0.0000106065,292.722
random_mtx_70,74526,500,500,0,r,1,0,149.052,120,181,74526,0,100,3749,70777,5.03,0,74526,0,21.319872,28.408833,29.504383,24.096672,21.870752,21.666304,21.799456,0.750466,0.7226,0.884764,0.974812,0.984011,0.978,0,0.0000000492573,0.0000000492573,5.52293E-10,0,0,0,22.796673,0.935219,0.0000108509,152.271
